week,date,cell_id,current_p,next_p
1,2021-08-31T22:53:20.098014,1,0.8333,0.8181
2,2021-10-04T03:17:13.472449,3,0.8181,0.8029
3,2021-10-11T03:17:21.087747,5,0.8029,0.7877
4,2021-10-18T03:00:16.827510,19,0.7877,0.7725
5,2021-10-25T03:00:16.312115,,0.7725,0.7725
6,2021-11-01T03:00:19.358262,18,0.7725,0.7573
7,2021-11-08T03:00:15.698641,4,0.7573,0.7421
8,2021-11-15T07:00:10.806529,,0.7421,0.7421
9,2021-11-22T03:00:16.680792,6,0.7421,0.7269
10,2021-11-29T03:00:17.349409,22,0.7269,0.7117
11,2021-12-06T03:00:18.395175,17,0.7117,0.6965
12,2021-12-13T03:00:19.322606,20,0.6965,0.6813
13,2021-12-20T03:00:17.859565,12,0.6813,0.6661
14,2021-12-27T03:00:20.199038,2,0.6661,0.6509
15,2022-01-03T03:00:17.039310,16,0.6509,0.6357
16,2022-01-10T03:00:20.897154,11,0.6357,0.6205
17,2022-01-17T03:00:17.349948,7,0.6205,0.6053
18,2022-01-24T03:00:17.530982,8,0.6053,0.5901
19,2022-01-31T03:00:15.655387,,0.5901,0.5901
20,2022-02-07T03:00:17.799863,,0.5901,0.5901
21,2022-02-14T03:00:15.016800,,0.5901,0.5901
22,2022-02-21T03:00:18.601444,,0.5901,0.5901
23,2022-02-28T03:00:23.621713,9,0.5901,0.5749
24,2022-03-07T03:00:16.473924,23,0.5749,0.5597
25,2022-03-14T03:00:17.018106,31,0.5597,0.5445
26,2022-03-21T03:00:17.852007,,0.5445,0.5445
27,2022-03-28T03:00:18.306295,21,0.5445,0.5293
28,2022-04-04T03:00:16.744582,,0.5293,0.5293
29,2022-04-11T03:00:17.959248,52,0.5293,0.5141
30,2022-04-18T03:00:15.327354,30,0.5141,0.4989
31,2022-04-25T03:00:18.153296,,0.4989,0.4989
32,2022-05-02T03:00:17.240957,37,0.4989,0.4837
33,2022-05-09T03:00:16.770992,51,0.4837,0.4685
34,2022-05-16T03:00:18.873317,,0.4685,0.4685
35,2022-05-23T03:00:16.089481,,0.4685,0.4685
