week,date,cell_id,current_p,next_p
1,2021-08-31T22:53:20.098014,1,0.8333,0.8181
2,2021-10-04T03:17:13.472449,3,0.8181,0.8029
3,2021-10-11T03:17:21.087747,5,0.8029,0.7877
4,2021-10-18T03:00:16.827510,19,0.7877,0.7725
5,2021-10-25T03:00:16.312115,,0.7725,0.7725
6,2021-11-01T03:00:19.358262,18,0.7725,0.7573
7,2021-11-08T03:00:15.698641,4,0.7573,0.7421
8,2021-11-15T07:00:10.806529,,0.7421,0.7421
9,2021-11-22T03:00:16.680792,6,0.7421,0.7269
10,2021-11-29T03:00:17.349409,22,0.7269,0.7117
11,2021-12-06T03:00:18.395175,17,0.7117,0.6965
12,2021-12-13T03:00:19.322606,20,0.6965,0.6813
13,2021-12-20T03:00:17.859565,12,0.6813,0.6661
14,2021-12-27T03:00:20.199038,2,0.6661,0.6509
15,2022-01-03T03:00:17.039310,16,0.6509,0.6357
16,2022-01-10T03:00:20.897154,11,0.6357,0.6205
17,2022-01-17T03:00:17.349948,7,0.6205,0.6053
18,2022-01-24T03:00:17.530982,8,0.6053,0.5901
19,2022-01-31T03:00:15.655387,,0.5901,0.5901
20,2022-02-07T03:00:17.799863,,0.5901,0.5901
21,2022-02-14T03:00:15.016800,,0.5901,0.5901
22,2022-02-21T03:00:18.601444,,0.5901,0.5901
23,2022-02-28T03:00:23.621713,9,0.5901,0.5749
24,2022-03-07T03:00:16.473924,23,0.5749,0.5597
25,2022-03-14T03:00:17.018106,31,0.5597,0.5445
26,2022-03-21T03:00:17.852007,,0.5445,0.5445
27,2022-03-28T03:00:18.306295,21,0.5445,0.5293
28,2022-04-04T03:00:16.744582,,0.5293,0.5293
29,2022-04-11T03:00:17.959248,52,0.5293,0.5141
30,2022-04-18T03:00:15.327354,30,0.5141,0.4989
31,2022-04-25T03:00:18.153296,,0.4989,0.4989
32,2022-05-02T03:00:17.240957,37,0.4989,0.4837
33,2022-05-09T03:00:16.770992,51,0.4837,0.4685
34,2022-05-16T03:00:18.873317,,0.4685,0.4685
35,2022-05-23T03:00:16.089481,,0.4685,0.4685
36,2022-05-30T03:00:16.248385,,0.4685,0.4685
37,2022-06-06T03:00:18.074540,,0.4685,0.4685
38,2022-06-13T03:00:16.478518,,0.4685,0.4685
39,2022-06-22T02:40:30.230305,,0.4685,0.4685
40,2022-06-27T03:00:19.742621,,0.4685,0.4685
41,2022-07-04T03:00:17.674844,,0.4685,0.4685
42,2022-07-11T03:00:21.785492,,0.4685,0.4685
43,2022-07-18T03:00:17.892191,35,0.4685,0.4533
44,2022-07-25T03:00:15.700667,,0.4533,0.4533
45,2022-08-01T03:00:16.471271,,0.4533,0.4533
46,2022-08-08T03:00:17.444000,,0.4533,0.4533
47,2022-08-15T03:00:20.343485,36,0.4533,0.4381
48,2022-08-22T03:00:16.934751,,0.4381,0.4381
49,2022-08-29T03:00:16.058048,,0.4381,0.4381
50,2022-09-05T03:00:15.865307,15,0.4381,0.4229
51,2022-09-12T03:00:20.027256,,0.4229,0.4229
52,2022-09-19T03:00:15.540968,25,0.4229,0.4077
53,2022-09-26T03:00:18.623142,,0.4077,0.4077
54,2022-10-03T03:00:19.454958,,0.4077,0.4077
55,2022-10-10T03:00:15.658962,42,0.4077,0.3925
56,2022-10-17T03:00:16.693924,33,0.3925,0.3773
57,2022-10-24T03:00:18.807350,28,0.3773,0.3621
58,2022-10-31T03:00:19.136863,46,0.3621,0.3469
59,2022-11-07T03:00:13.289048,,0.3469,0.3469
60,2022-11-14T03:00:20.514501,,0.3469,0.3469
61,2022-11-21T03:00:16.927333,53,0.3469,0.3317
62,2022-11-28T03:00:16.781872,32,0.3317,0.3165
63,2022-12-05T03:00:19.024612,,0.3165,0.3165
64,2022-12-12T03:00:20.502825,14,0.3165,0.3013
65,2022-12-19T03:00:23.374332,,0.3013,0.3013
66,2022-12-26T03:00:18.160504,,0.3013,0.3013
67,2023-01-02T03:00:18.350155,43,0.3013,0.2861
68,2023-01-09T03:00:21.012980,,0.2861,0.2861
69,2023-01-16T03:00:19.216383,26,0.2861,0.2709
70,2023-01-23T03:00:17.399916,,0.2709,0.2709
71,2023-01-30T03:00:16.897087,47,0.2709,0.2557
72,2023-02-06T03:00:14.703236,50,0.2557,0.2405
73,2023-02-13T03:00:19.244473,,0.2405,0.2405
74,2023-02-20T03:00:14.630002,,0.2405,0.2405
75,2023-02-27T03:00:18.622088,,0.2405,0.2405
76,2023-03-06T03:00:14.102659,,0.2405,0.2405
77,2023-03-13T03:00:16.340669,,0.2405,0.2405
78,2023-03-20T03:00:15.435106,,0.2405,0.2405
79,2023-03-27T03:00:18.639570,,0.2405,0.2405
80,2023-04-03T03:00:17.283041,,0.2405,0.2405
81,2023-04-10T03:00:15.878055,41,0.2405,0.2253
